0	30	2.8229	0
0	28	2.8153	0
0	26	2.7222	0
0	24	2.7610	0
0	22	2.7584	0
0	20	2.7880	0
0	18	2.7592	0
0	16	2.8024	0
-1	-1	0.0000	0
0	12	2.7763	0
0	10	2.7401	0
0	8	2.7336	0
-1	-1	0.0000	0
0	4	2.8187	0
0	2	2.7642	0
0	0	2.8299	0
0	31	2.7378	0
0	29	2.7695	0
0	27	2.7485	0
0	25	2.7249	0
0	23	2.8327	0
0	21	2.8256	0
0	19	2.7187	0
0	17	2.7966	0
-1	-1	0.0000	0
0	13	2.8180	0
0	11	2.8342	0
0	9	2.7546	0
-1	-1	0.0000	0
0	5	2.8701	0
0	3	2.7846	0
0	1	2.8828	0
1	0	2.8883	0
1	2	2.8328	0
1	24	2.8558	0
1	6	2.8894	0
1	8	2.7663	0
1	16	2.8550	0
1	12	2.8740	0
1	14	2.7873	0
-1	-1	2.9758	0
1	18	2.8619	0
1	20	2.8491	0
1	22	2.6510	0
-1	-1	2.8234	0
1	26	2.8483	0
1	28	2.7921	0
1	30	2.8553	0
1	1	2.8613	0
1	3	2.8248	0
1	5	2.8170	0
1	7	2.8244	0
1	9	2.8537	0
1	11	2.9140	0
1	13	2.9169	0
1	15	2.8937	0
-1	-1	0.0000	0
1	19	2.8227	0
1	21	2.8513	0
1	23	2.7616	0
-1	-1	0.0000	0
1	27	2.7627	0
1	29	2.7806	0
1	31	2.8313	0
0	14	2.7290	0
0	6	2.8078	0
0	15	2.8099	0
0	7	2.7425	0
1	10	2.8267	0
1	4	2.8409	0
1	17	2.7557	0
1	25	2.6273	0
